contract_term_id,contract_id,term_sequence,effective_start_date,effective_end_date,term_length_months,payment_terms_days,overage_policy_type,volume_commitment_type,annual_subscription_fee,implementation_fee,support_tier,support_fee,transaction_fee_per_unit,committed_transaction_volume,ramp_discount_pct,renewal_uplift_pct,price_escalator_pct,termination_for_convenience_flag,price_hold_months,service_level_notes
1,1,1,2024-01-01,2024-12-31,12,30,none,none,263972.19,20637.85,standard,22218.56,,,4.18,3.94,0.0,false,6,
2,1,2,2025-01-01,2025-12-31,12,45,none,none,272128.93,0.0,standard,22905.11,,,0.0,3.87,3.09,false,0,Custom onboarding and SLA language applied for rollout phases
3,2,1,2023-11-15,2024-11-14,12,30,none,none,22483.12,1934.48,standard,1810.76,,,0.0,3.12,0.0,false,0,
4,3,1,2025-08-24,2026-08-23,12,60,none,none,19271.71,3959.67,standard,1593.83,,,0.0,6.01,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
5,4,1,2025-06-11,2026-06-10,12,60,none,none,16919.13,3781.64,standard,1381.82,,,0.0,3.6,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
6,5,1,2024-11-11,2025-11-10,12,30,none,none,30567.85,4689.3,standard,2507.82,0.01226,238008,0.0,7.11,0.0,false,0,
7,6,1,2025-03-25,2026-03-24,12,30,none,none,17957.38,1800.48,premium,2346.75,,,0.0,4.55,0.0,false,0,
8,7,1,2025-02-16,2026-02-15,12,30,none,none,1417086.84,147631.88,premium,198471.48,,,20.95,3.71,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
9,7,2,2026-02-16,2027-02-15,12,30,none,none,1470511.01,0.0,premium,205953.85,,,0.0,3.93,3.77,false,3,Custom onboarding and SLA language applied for rollout phases
10,7,3,2027-02-16,2028-02-15,12,30,none,none,1522422.09,0.0,premium,213224.31,,,0.0,6.81,3.65,false,0,
11,8,1,2025-03-26,2026-03-25,12,30,none,none,1108251.97,71397.84,enterprise,210554.87,,,4.41,6.78,0.0,false,0,
12,8,2,2026-03-26,2027-03-25,12,30,none,none,1161226.41,0.0,enterprise,220619.39,,,0.0,7.36,4.78,false,0,
13,9,1,2024-08-28,2025-08-27,12,30,true_up,soft_commit,937900.24,219254.35,enterprise,182765.23,0.00927,8726381,22.59,4.48,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
