opportunity_id,opportunity_external_id,account_id,opportunity_name,stage_name,outcome,lifecycle_type,segment,sales_region,close_date,created_date,expected_start_date,contract_length_months,currency_code,estimated_users,annual_transaction_estimate,implementation_complexity,support_tier_requested,competitor_pressure_score,total_quote_amount
1,OPP-00001,1,Harbor Supply Co Expansion,Closed Lost,lost,expansion,enterprise,apac,2023-01-29,2022-10-31,2023-03-10,24,USD,6312,2822533,high,enterprise,0.39,
2,OPP-00002,1,Harbor Supply Co Renewal,Closed Won,won,renewal,enterprise,apac,2023-11-29,2023-10-24,2024-01-01,24,USD,2631,2650070,medium,standard,0.59,592777.41
3,OPP-00003,1,Harbor Supply Co Expansion,Closed Lost,lost,expansion,enterprise,apac,2023-08-31,2023-05-08,2023-11-02,,USD,6678,3813663,high,premium,0.49,1067854.81
4,OPP-00004,2,Atlas Commerce Partners Net New,Closed Lost,lost,net_new,smb,emea,2024-09-13,2024-02-20,2024-10-22,12,USD,,99379,low,standard,0.58,48863.32
5,OPP-00005,2,Atlas Commerce Partners Renewal,Closed Won,won,renewal,smb,emea,2023-09-03,2023-07-29,2023-11-15,12,USD,24,196479,low,standard,0.17,26227.03
6,OPP-00006,3,Summit Operations Net New,Closed Lost,lost,net_new,mid_market,apac,2023-03-27,2022-10-15,2023-05-25,36,USD,862,580317,medium,premium,0.35,
7,OPP-00007,3,Summit Operations Net New,Closed Lost,lost,net_new,mid_market,apac,2023-01-31,2022-08-17,2023-03-05,24,USD,,1603779,medium,standard,0.29,211445.36
8,OPP-00008,4,Granite Distribution Net New,Closed Lost,lost,net_new,mid_market,emea,2024-04-14,2024-02-25,2024-06-02,24,USD,189,1556488,medium,premium,0.59,
9,OPP-00009,4,Granite Distribution Expansion,Closed Lost,lost,expansion,mid_market,emea,2024-01-16,2023-09-05,2024-03-15,36,USD,495,,medium,premium,0.37,
10,OPP-00010,4,Granite Distribution Net New,Closed Lost,lost,net_new,mid_market,emea,2025-04-29,2025-02-10,2025-06-05,24,USD,755,1307916,medium,premium,0.46,250602.83
11,OPP-00011,5,Meridian Cargo Systems Net New,Closed Lost,lost,net_new,smb,apac,2025-10-01,2025-03-14,2025-12-11,12,USD,149,205651,medium,standard,0.31,60082.32
12,OPP-00012,5,Meridian Cargo Systems Net New,Closed Lost,lost,net_new,smb,apac,2023-05-02,2022-12-02,2023-05-31,12,USD,119,204062,medium,standard,0.39,54713.93
13,OPP-00013,6,Apex Retail Holdings Expansion,Closed Lost,lost,expansion,smb,emea,2025-05-27,2025-03-25,2025-06-25,12,USD,22,310193,low,standard,0.33,32616.06
14,OPP-00014,6,Apex Retail Holdings Expansion,Closed Won,won,expansion,smb,emea,2025-06-28,2025-03-08,2025-08-24,12,USD,67,234169,low,standard,0.23,24819.49
15,OPP-00015,7,Bluewave Trade Group Expansion,Closed Won,won,expansion,smb,emea,2025-05-04,2025-01-23,2025-06-11,12,USD,87,171630,low,standard,0.06,22079.48
16,OPP-00016,7,Bluewave Trade Group Expansion,Closed Won,won,expansion,smb,emea,2024-10-16,2024-07-08,2024-11-11,12,USD,201,273055,low,standard,0.28,40502.35
