opportunity_competitor_id,opportunity_id,competitor_id,is_primary_competitor,perceived_strength,price_positioning,capture_notes
1,1,4,true,medium,lower,
2,2,3,true,low,lower,
3,2,2,false,medium,similar,
4,3,3,true,medium,unknown,
5,4,4,true,low,unknown,Competitive overlap in control tower workflows
6,6,1,true,low,lower,
7,7,5,true,high,similar,
8,8,5,true,high,similar,
9,8,1,false,medium,lower,
10,9,4,true,high,similar,
11,10,4,true,medium,lower,
12,10,6,false,high,higher,
13,11,5,true,high,lower,
14,12,5,true,high,similar,
15,13,3,true,medium,similar,
16,14,6,true,medium,similar,Competitive overlap in control tower workflows
17,18,2,true,high,similar,
18,18,6,false,medium,lower,
19,19,6,true,low,unknown,Competitive overlap in control tower workflows
20,19,5,false,medium,higher,Competitive overlap in control tower workflows
21,19,4,false,high,lower,
22,20,2,true,high,higher,
23,20,1,false,medium,higher,Competitive overlap in control tower workflows
24,20,3,false,high,similar,
25,21,5,true,high,unknown,
26,21,3,false,medium,similar,
27,21,6,false,medium,similar,
28,22,4,true,medium,higher,Competitive overlap in control tower workflows
29,23,6,true,high,lower,
30,23,5,false,high,lower,
31,24,4,true,high,similar,
32,25,6,true,high,lower,
33,25,3,false,low,higher,
34,26,3,true,high,lower,
35,27,3,true,medium,higher,
36,28,3,true,high,similar,
37,28,2,false,medium,unknown,Competitive overlap in control tower workflows
38,29,1,true,high,similar,
39,30,4,true,medium,lower,
40,31,6,true,medium,lower,
41,32,5,true,high,similar,
42,32,2,false,high,similar,
43,33,3,true,high,similar,
44,33,1,false,medium,similar,
45,34,4,true,medium,lower,
46,34,6,false,high,similar,
47,34,2,false,high,higher,
48,35,3,true,high,similar,Competitive overlap in control tower workflows
49,36,3,true,high,lower,
50,37,1,true,high,higher,
51,38,3,true,high,lower,
52,39,6,true,high,higher,
53,39,1,false,high,similar,
54,40,6,true,high,lower,
55,41,3,true,medium,lower,
56,42,5,true,low,similar,
57,43,2,true,low,higher,
58,43,3,false,medium,lower,
59,44,2,true,low,lower,Competitive overlap in control tower workflows
60,45,5,true,high,similar,
61,45,3,false,high,higher,Competitive overlap in control tower workflows
62,45,1,false,medium,similar,
63,46,6,true,medium,lower,
64,47,2,true,medium,lower,
65,48,4,true,medium,unknown,
66,48,6,false,medium,similar,
67,49,6,true,medium,lower,
68,50,6,true,high,similar,
69,50,1,false,medium,lower,
70,51,3,true,high,similar,
71,52,5,true,high,similar,
72,53,4,true,high,similar,
73,53,5,false,medium,similar,
74,53,3,false,low,lower,
75,54,5,true,medium,similar,
76,55,2,true,medium,lower,
77,56,2,true,low,higher,Competitive overlap in control tower workflows
78,56,6,false,high,lower,
79,57,4,true,medium,lower,Competitive overlap in control tower workflows
80,57,5,false,low,lower,
81,58,2,true,high,similar,
82,58,4,false,high,higher,
83,59,3,true,high,similar,
84,60,2,true,high,higher,
85,61,5,true,high,similar,
86,63,4,true,low,lower,Competitive overlap in control tower workflows
87,64,3,true,medium,lower,
88,64,1,false,medium,similar,
89,65,5,true,medium,similar,Competitive overlap in control tower workflows
90,65,6,false,low,similar,
91,66,1,true,high,similar,
92,67,5,true,medium,similar,
93,67,2,false,low,similar,
94,68,2,true,high,similar,
95,68,3,false,high,lower,
96,68,1,false,high,similar,
97,69,1,true,high,similar,
98,69,5,false,high,higher,Competitive overlap in control tower workflows
99,69,3,false,medium,lower,
100,70,2,true,medium,higher,
101,71,3,true,high,lower,Competitive overlap in control tower workflows
102,71,4,false,low,lower,
103,72,1,true,low,lower,
104,73,2,true,medium,similar,
105,73,3,false,medium,higher,
106,73,4,false,high,similar,
107,74,1,true,medium,higher,
108,74,2,false,low,lower,Competitive overlap in control tower workflows
109,75,4,true,medium,similar,
110,76,1,true,medium,higher,
111,76,2,false,medium,similar,
112,77,2,true,medium,similar,
113,78,1,true,high,higher,
114,79,5,true,low,similar,
115,79,3,false,high,higher,
116,79,4,false,medium,higher,
117,80,5,true,medium,higher,
118,80,2,false,high,lower,
119,80,6,false,high,similar,
120,81,3,true,medium,similar,
121,82,1,true,low,lower,
122,82,6,false,high,similar,
123,83,3,true,high,higher,Competitive overlap in control tower workflows
124,84,2,true,medium,lower,
125,84,3,false,medium,higher,
126,84,5,false,high,unknown,
127,85,3,true,high,lower,
128,85,5,false,low,similar,Competitive overlap in control tower workflows
129,86,6,true,medium,lower,
130,87,3,true,medium,lower,Competitive overlap in control tower workflows
131,87,1,false,medium,higher,Competitive overlap in control tower workflows
132,88,2,true,medium,lower,
133,90,3,true,high,lower,Competitive overlap in control tower workflows
134,91,1,true,medium,higher,Competitive overlap in control tower workflows
135,92,5,true,medium,higher,
136,92,4,false,high,lower,
137,93,2,true,medium,similar,
138,94,1,true,high,similar,
139,94,4,false,medium,lower,
140,95,1,true,medium,similar,
141,96,5,true,high,similar,
142,96,6,false,medium,similar,
143,97,6,true,medium,lower,
144,97,1,false,medium,higher,
145,97,5,false,high,similar,
146,98,2,true,high,lower,
147,98,1,false,medium,lower,
148,99,4,true,high,higher,
149,99,6,false,high,similar,
150,100,2,true,medium,lower,
151,101,6,true,low,lower,
152,101,3,false,high,similar,
153,102,2,true,medium,lower,Competitive overlap in control tower workflows
154,102,4,false,high,higher,
155,103,5,true,medium,higher,
156,104,4,true,medium,similar,
157,107,2,true,medium,similar,Competitive overlap in control tower workflows
158,107,6,false,high,similar,Competitive overlap in control tower workflows
159,108,3,true,medium,similar,Competitive overlap in control tower workflows
160,109,5,true,low,similar,
161,110,2,true,medium,higher,
162,111,3,true,high,higher,
163,113,2,true,medium,similar,Competitive overlap in control tower workflows
164,116,5,true,medium,unknown,
165,118,4,true,high,similar,
166,118,1,false,medium,higher,
167,119,2,true,medium,lower,
168,119,6,false,medium,higher,
169,119,5,false,medium,similar,Competitive overlap in control tower workflows
170,120,3,true,low,lower,
171,120,1,false,medium,similar,
172,121,3,true,low,similar,
173,122,4,true,medium,higher,Competitive overlap in control tower workflows
174,123,1,true,medium,lower,Competitive overlap in control tower workflows
175,123,4,false,low,higher,Competitive overlap in control tower workflows
176,124,3,true,medium,higher,Competitive overlap in control tower workflows
177,125,5,true,high,higher,Competitive overlap in control tower workflows
178,126,4,true,low,higher,
179,127,6,true,medium,lower,Competitive overlap in control tower workflows
180,127,3,false,medium,similar,
181,128,2,true,high,lower,Competitive overlap in control tower workflows
182,128,5,false,medium,lower,
183,129,3,true,medium,higher,
184,130,5,true,medium,similar,
185,131,2,true,medium,lower,
186,131,5,false,high,lower,
187,131,3,false,high,similar,
188,132,1,true,low,lower,
189,132,6,false,high,similar,Competitive overlap in control tower workflows
190,133,4,true,medium,higher,
191,134,3,true,medium,similar,
192,134,2,false,medium,similar,
193,135,2,true,medium,similar,
194,136,5,true,medium,lower,
