line_item_id,opportunity_id,product_id,line_number,line_role,quantity,unit_price,annualized_amount,implementation_fee,transaction_fee_per_unit,committed_transaction_volume,discount_pct,included_in_bundle
1,1,9,1,base,6312,117.06,738913.46,0.0,,,16.21,false
2,1,3,2,add_on,6312,17.17,108358.23,0.0,,,18.16,true
3,1,5,3,add_on,6312,19.85,125323.61,0.0,,,16.19,true
4,1,6,4,services,1,31266.33,14722.72,0.0,,,17.23,true
5,1,8,5,services,1,189044.06,0.0,189044.06,,,14.3,false
6,1,7,6,support,1,161810.77,161810.77,0.0,,,14.8,false
7,2,1,1,base,2631,56.03,147408.13,0.0,,,17.38,false
8,2,3,2,add_on,2631,16.97,44653.63,0.0,,,16.69,false
9,2,5,3,add_on,2631,21.38,56247.12,0.0,,,18.15,false
10,2,8,4,services,1,20637.85,0.0,20637.85,,,14.74,false
11,2,7,5,support,1,22218.56,22218.56,0.0,,,15.24,false
12,3,1,1,base,6678,68.66,458532.86,0.0,,,17.28,false
13,3,2,2,add_on,6678,18.49,123465.78,0.0,,,18.52,false
14,3,3,3,add_on,6678,17.17,114678.12,0.0,,,19.59,false
15,3,4,4,add_on,3011127,0.01027,30924.27,0.0,0.01027,3011127,17.35,false
16,3,10,5,add_on,6678,11.88,79338.89,0.0,,,17.96,false
17,3,8,6,services,1,173335.12,0.0,173335.12,,,16.0,false
18,3,7,7,support,1,104415.64,104415.64,0.0,,,16.5,false
19,4,1,1,base,1,11270.97,11270.97,0.0,,,8.5,false
20,4,2,2,add_on,1,4334.43,4334.43,0.0,,,9.43,false
21,4,3,3,add_on,1,3047.42,3047.42,0.0,,,8.55,false
22,4,5,4,add_on,1,5055.38,5055.38,0.0,,,9.5,false
23,4,8,5,services,1,7608.33,0.0,7608.33,,,6.03,false
24,4,7,6,support,1,3120.44,3120.44,0.0,,,6.53,false
25,5,1,1,base,24,580.94,13942.46,0.0,,,3.82,false
26,5,2,2,add_on,24,230.28,5526.66,0.0,,,2.97,false
27,5,10,3,add_on,24,129.05,3097.16,0.0,,,4.11,false
28,5,8,4,services,1,1934.48,0.0,1934.48,,,0.53,false
29,5,7,5,support,1,1810.76,1810.76,0.0,,,1.03,false
30,6,1,1,base,862,62.34,53733.06,0.0,,,17.5,false
31,6,2,2,add_on,862,24.95,21507.15,0.0,,,18.55,false
32,6,3,3,add_on,862,16.5,14225.48,0.0,,,15.97,false
33,6,8,4,services,1,35396.05,0.0,35396.05,,,14.4,false
34,6,7,5,support,1,14701.65,14701.65,0.0,,,14.9,false
35,7,1,1,base,1,11380.95,11380.95,0.0,,,15.12,false
36,7,4,2,add_on,1529762,0.01099,16812.08,0.0,0.01099,1529762,15.79,false
37,7,8,3,services,1,28353.69,0.0,28353.69,,,15.27,false
38,7,7,4,support,1,5828.97,5828.97,0.0,,,15.77,false
39,8,1,1,base,189,111.11,20999.07,0.0,,,19.38,false
40,8,2,2,add_on,189,45.65,8627.07,0.0,,,18.37,false
41,8,4,3,add_on,1292001,0.01007,13010.45,0.0,0.01007,1292001,19.61,false
42,8,8,4,services,1,22982.77,0.0,22982.77,,,17.56,false
43,8,7,5,support,1,5501.57,5501.57,0.0,,,18.06,false
44,9,1,1,base,495,76.27,37754.61,0.0,,,10.74,false
45,9,2,2,add_on,495,27.19,13458.6,0.0,,,11.15,false
46,9,3,3,add_on,495,25.14,12443.03,0.0,,,12.12,false
47,9,4,4,add_on,1509159,0.00901,13597.52,0.0,0.00901,1509159,12.13,false
48,9,10,5,add_on,495,15.73,7784.84,0.0,,,13.89,false
49,9,8,6,services,1,21370.98,0.0,21370.98,,,10.57,false
50,9,7,7,support,1,11965.21,11965.21,0.0,,,11.07,false
51,10,1,1,base,755,72.92,55053.32,0.0,,,16.79,false
52,10,2,2,add_on,755,27.25,20571.49,0.0,,,16.0,false
53,10,3,3,add_on,755,19.31,14580.94,0.0,,,14.26,false
54,10,8,4,services,1,33156.57,0.0,33156.57,,,14.13,false
55,10,7,5,support,1,13064.92,13064.92,0.0,,,14.63,false
56,11,1,1,base,149,127.34,18973.31,0.0,,,8.99,false
57,11,4,2,add_on,194321,0.01043,2026.77,0.0,0.01043,194321,9.9,false
58,11,6,3,services,1,3514.65,12943.36,0.0,,,8.67,false
59,11,8,4,services,1,21547.89,0.0,21547.89,,,7.53,false
60,11,7,5,support,1,2772.69,2772.69,0.0,,,8.03,false
61,12,1,1,base,119,157.23,18710.93,0.0,,,3.07,false
62,12,2,2,add_on,119,66.42,7903.77,0.0,,,5.59,false
63,12,3,3,add_on,119,47.73,5679.61,0.0,,,3.43,false
64,12,8,4,services,1,21037.15,0.0,21037.15,,,3.23,false
65,12,7,5,support,1,2527.88,2527.88,0.0,,,3.73,false
66,13,1,1,base,22,588.06,12937.29,0.0,,,11.87,false
67,13,2,2,add_on,22,236.71,5207.61,0.0,,,11.87,false
68,13,4,3,add_on,262134,0.01199,3142.99,0.0,0.01199,262134,10.35,false
69,13,10,4,add_on,22,113.09,2487.91,0.0,,,12.68,false
70,13,8,5,services,1,4228.75,0.0,4228.75,,,8.9,false
71,13,7,6,support,1,1926.23,1926.23,0.0,,,9.4,false
72,14,1,1,base,67,232.38,15569.67,0.0,,,13.36,false
73,14,3,2,add_on,67,56.78,3804.25,0.0,,,9.4,false
74,14,8,3,services,1,3959.67,0.0,3959.67,,,9.53,false
75,14,7,4,support,1,1593.83,1593.83,0.0,,,10.03,false
76,15,1,1,base,87,202.45,17612.96,0.0,,,5.48,false
77,15,8,2,services,1,3781.64,0.0,3781.64,,,5.46,false
78,15,7,3,support,1,1381.82,1381.82,0.0,,,5.96,false
79,16,1,1,base,201,119.5,24019.1,0.0,,,10.95,false
80,16,4,2,add_on,238008,0.01161,2763.27,0.0,0.01161,238008,7.94,false
81,16,10,3,add_on,201,24.06,4835.16,0.0,,,7.95,false
82,16,8,4,services,1,4689.3,0.0,4689.3,,,6.96,false
83,16,7,5,support,1,2507.82,2507.82,0.0,,,7.46,false
84,17,1,1,base,75,243.98,18298.62,0.0,,,2.75,false
85,17,8,2,services,1,1800.48,0.0,1800.48,,,0.0,false
86,17,7,3,support,1,2346.75,2346.75,0.0,,,0.49,false
87,18,1,1,base,20555,64.75,1330866.51,0.0,,,25.23,false
88,18,2,2,add_on,20555,22.55,463586.95,0.0,,,26.19,false
89,18,3,3,add_on,20555,15.11,310505.05,0.0,,,22.82,false
90,18,4,4,add_on,18631611,0.00759,141413.93,0.0,0.00759,18631611,23.82,false
91,18,5,5,add_on,20555,17.52,360145.54,0.0,,,23.85,false
92,18,8,6,services,1,573060.52,0.0,573060.52,,,22.69,false
93,18,7,7,support,1,517545.12,517545.12,0.0,,,23.19,false
94,19,1,1,base,13207,53.31,704009.32,0.0,,,21.45,false
95,19,3,2,add_on,13207,15.23,201193.11,0.0,,,24.2,false
96,19,5,3,add_on,13207,20.74,273906.96,0.0,,,21.93,false
97,19,6,4,services,1,24759.03,14443.07,0.0,,,22.28,false
98,19,8,5,services,1,147631.88,0.0,147631.88,,,20.98,false
99,19,7,6,support,1,198471.48,198471.48,0.0,,,21.48,false
100,20,9,1,base,16876,94.45,1593936.28,0.0,,,29.83,false
101,20,3,2,add_on,16876,14.25,240476.47,0.0,,,30.45,true
102,20,4,3,add_on,16855647,0.00885,149172.48,0.0,0.00885,16855647,30.38,true
103,20,6,4,services,1,86515.97,13568.03,0.0,,,26.97,true
104,20,10,5,add_on,16876,10.14,171140.39,0.0,,,28.16,true
105,20,8,6,services,1,509319.51,0.0,509319.51,,,27.04,false
106,20,7,7,support,1,320214.59,320214.59,0.0,,,27.54,false
107,21,1,1,base,14339,55.5,795823.43,0.0,,,18.77,false
108,21,8,2,services,1,71397.84,0.0,71397.84,,,15.63,false
109,21,7,3,support,1,210554.87,210554.87,0.0,,,16.13,false
110,22,1,1,base,8172,65.1,532010.31,0.0,,,26.21,false
111,22,2,2,add_on,8172,20.47,167303.14,0.0,,,25.36,false
112,22,3,3,add_on,8172,16.27,132939.54,0.0,,,22.84,false
113,22,4,4,add_on,8726381,0.00773,67454.93,0.0,0.00773,8726381,24.92,false
114,22,6,5,services,1,36861.86,14503.27,0.0,,,25.93,false
115,22,8,6,services,1,219254.35,0.0,219254.35,,,22.16,false
116,22,7,7,support,1,182765.23,182765.23,0.0,,,22.66,false
117,23,1,1,base,40,293.22,11728.71,0.0,,,13.6,false
118,23,4,2,add_on,313507,0.01146,3592.79,0.0,0.01146,313507,13.95,false
119,23,8,3,services,1,5561.01,0.0,5561.01,,,12.96,false
120,23,7,4,support,1,2225.22,2225.22,0.0,,,13.46,false
121,24,9,1,base,13481,95.91,1292980.64,0.0,,,19.63,false
122,24,4,2,add_on,16140057,0.00894,144292.11,0.0,0.00894,16140057,23.28,true
123,24,5,3,add_on,13481,18.79,253320.01,0.0,,,20.76,true
124,24,8,4,services,1,561286.08,0.0,561286.08,,,19.81,false
125,24,7,5,support,1,247464.04,247464.04,0.0,,,20.31,false
126,25,9,1,base,8380,85.55,716887.68,0.0,,,28.54,false
127,25,4,2,add_on,12804403,0.00899,115111.58,0.0,0.00899,12804403,27.22,true
128,25,5,3,add_on,8380,20.94,175518.03,0.0,,,24.61,true
129,25,6,4,services,1,67426.4,14294.6,0.0,,,27.28,true
130,25,8,5,services,1,399096.83,0.0,399096.83,,,24.48,false
131,25,7,6,support,1,228745.07,228745.07,0.0,,,24.98,false
132,26,1,1,base,11571,57.98,670861.58,0.0,,,28.98,false
133,26,2,2,add_on,11571,22.04,255075.41,0.0,,,26.6,false
134,26,6,3,services,1,61715.29,14099.92,0.0,,,25.64,false
135,26,8,4,services,1,364752.79,0.0,364752.79,,,25.18,false
136,26,7,5,support,1,205888.62,205888.62,0.0,,,25.68,false
137,27,1,1,base,12343,55.98,690958.13,0.0,,,19.29,false
