price_snapshot_id,opportunity_id,snapshot_version,snapshot_date,pricing_stage,total_contract_value,annual_subscription_fee,implementation_fee,support_fee,transaction_fee_per_unit,discount_pct,contract_length_months,pricing_notes
1,2,1,2023-10-29,initial,633172.52,282878.92,20892.52,23261.08,,10.78,24,
2,2,2,2023-11-07,negotiation,629938.33,281365.17,20872.13,23167.93,,11.25,24,
3,2,3,2023-11-16,approval,610487.79,272261.44,20749.51,22607.7,,14.13,24,commercial review in progress
4,2,4,2023-11-25,final,592777.41,263972.19,20637.85,22097.59,,16.74,24,
5,3,1,2023-06-11,initial,1099757.01,787353.81,174398.56,106538.36,0.01045,15.04,,commercial review in progress
6,3,2,2023-07-19,negotiation,1091186.11,780012.67,,105804.25,0.01038,15.83,,
7,3,3,2023-08-27,approval,1067854.81,759948.17,173335.12,103797.8,,18.0,,
8,4,1,2024-05-29,initial,49531.74,38750.44,,3150.29,,6.56,12,commercial review in progress
9,4,2,2024-09-09,negotiation,48863.32,,7608.33,3112.85,,8.03,12,
10,5,1,2023-08-03,initial,26856.37,23066.71,1944.32,1845.34,,0.0,12,commercial review in progress
11,5,2,2023-08-12,negotiation,26856.37,23066.71,1944.32,1845.34,,0.0,12,
12,5,3,2023-08-21,approval,26792.33,23007.32,1943.32,1841.69,,0.26,12,
13,5,4,2023-08-30,final,26227.03,22483.12,1934.48,1809.43,,2.53,12,
14,7,1,2023-01-27,initial,211445.36,69121.24,28353.69,5796.08,0.01087,17.27,,
15,10,1,2025-04-25,initial,250602.83,95726.39,33156.57,12996.74,,16.13,24,commercial review in progress
16,11,1,2025-06-18,initial,60557.12,,21593.76,2788.56,0.01054,8.49,12,
17,11,2,2025-09-27,negotiation,60082.32,,21547.89,2764.59,0.01046,9.53,12,commercial review in progress
18,12,1,2023-04-28,initial,54713.93,,21037.15,2523.96,,5.23,12,
19,13,1,2025-04-11,initial,33204.55,,4245.15,1950.31,,9.0,,
20,13,2,2025-05-02,negotiation,33001.38,23663.4,4239.5,1939.77,0.01205,9.66,12,
21,13,3,2025-05-23,approval,32616.06,,,,,10.9,12,
22,14,1,2025-04-10,initial,25547.95,19934.69,3984.35,1628.91,,8.49,12,
23,14,2,2025-05-17,negotiation,25333.67,19739.67,3977.09,1616.91,,9.38,12,
24,14,3,2025-06-24,approval,24819.49,19271.71,3959.67,1588.11,,11.53,12,
25,15,1,2025-02-13,initial,23155.67,17894.35,3822.6,1438.72,,2.13,12,
26,15,2,2025-03-10,negotiation,22951.59,17709.42,3814.83,1427.34,,3.14,12,
27,15,3,2025-04-04,approval,22368.89,17181.38,3792.66,1394.85,,6.03,12,
28,15,4,2025-04-30,final,22079.48,16919.13,3781.64,1378.71,,7.46,12,
29,16,1,2024-07-29,initial,43161.18,32884.9,4755.21,2643.55,0.01209,2.06,12,
30,16,2,2024-08-23,negotiation,41785.55,31686.16,4721.11,2569.79,0.0118,5.63,12,
31,16,3,2024-09-17,approval,41146.81,31130.73,4705.31,2535.6,0.01166,7.28,12,
32,16,4,2024-10-12,final,40502.35,30567.85,4689.3,2500.97,0.01153,8.96,12,
33,17,1,2024-11-23,initial,22511.52,18321.99,1807.67,2381.86,,0.0,12,commercial review in progress
34,17,2,2024-12-13,negotiation,22511.52,18321.99,1807.67,2381.86,,0.0,12,commercial review in progress
35,17,3,2025-01-02,approval,22511.52,18321.99,1807.67,2381.86,,0.0,12,commercial review in progress
36,17,4,2025-01-23,final,22103.26,17957.38,1800.48,2345.4,,1.99,12,
37,18,1,2024-05-23,initial,17832086.85,2776010.59,577377.77,530536.24,,21.11,60,commercial review in progress
38,18,2,2024-06-04,negotiation,17463983.89,,575236.65,521883.73,,22.89,60,
39,18,3,2024-06-16,approval,17090962.9,,573060.52,513089.78,0.00754,24.69,60,commercial review in progress
40,19,1,2024-12-07,initial,5253896.45,1496767.8,148972.19,204873.62,,18.65,36,
41,19,2,2024-12-17,negotiation,5104233.02,1451645.25,148213.19,200361.36,,21.1,36,
42,19,3,2024-12-27,approval,4989608.96,1417086.84,147631.88,196905.52,,22.98,36,
43,20,1,2025-11-02,initial,11287759.23,2226912.68,509319.51,316839.21,0.00895,29.04,48,commercial review in progress
44,21,1,2024-12-12,initial,2881409.75,1184666.69,72238.49,219918.94,,11.95,24,
45,21,2,2024-12-28,negotiation,2853236.22,1172352.68,72103.02,218213.92,,12.87,24,
46,21,3,2025-01-13,approval,2750083.57,1127266.98,71607.03,211971.29,,16.22,24,
47,21,4,2025-01-29,final,2706578.66,1108251.97,71397.84,209338.44,,17.63,24,
48,22,1,2024-05-27,initial,3987558.85,995722.33,221408.73,189239.15,0.00807,19.48,36,commercial review in progress
49,22,2,2024-06-24,negotiation,3907389.51,973412.51,220577.49,186150.1,0.00795,21.29,36,
50,22,3,2024-07-22,approval,3780327.86,937900.24,219254.35,181233.02,0.00778,24.16,36,
51,23,1,2023-09-11,initial,27710.6,16370.46,,,0.01137,14.96,12,commercial review in progress
52,24,1,2024-07-15,initial,7361252.17,1860733.22,565708.48,254184.08,0.00931,18.04,36,
53,24,2,2024-09-15,negotiation,7196354.59,1813701.99,563276.97,249480.96,0.00916,20.11,36,commercial review in progress
54,24,3,2024-11-16,approval,7061474.69,1775193.33,561286.08,245630.09,0.00904,21.81,36,
55,25,1,2025-09-21,initial,4912970.73,1162274.53,,226598.3,0.00904,26.48,36,
56,26,1,2023-08-28,initial,5412630.91,1056076.15,,205716.02,,26.26,,commercial review in progress
57,26,2,2023-10-27,negotiation,5351944.23,1042905.47,364752.79,203892.39,,27.18,48,
58,27,1,2024-04-28,initial,1706333.29,1065612.73,348185.3,,,20.31,,
59,28,1,2023-08-23,initial,56286.23,24092.81,4216.19,1942.21,,3.22,24,
60,28,2,2023-09-01,negotiation,53557.79,22827.98,4173.07,1864.38,,8.3,24,
61,28,3,2023-09-10,approval,52476.52,22326.74,4155.98,1833.53,,10.31,24,
62,28,4,2023-09-19,final,51634.1,21936.22,4142.66,1809.5,,11.88,24,
63,29,1,2023-11-26,initial,48969.04,42079.73,2501.48,3376.76,0.01228,1.32,12,
64,29,2,2023-12-10,negotiation,47239.99,40492.54,2482.81,3279.09,0.01197,5.04,12,
65,29,3,2023-12-23,approval,46294.08,39623.5,2472.59,3225.61,0.01181,7.08,12,commercial review in progress
66,29,4,2024-01-06,final,45326.99,38736.27,2462.15,3171.01,0.01163,9.16,12,
67,30,1,2023-10-25,initial,21984.51,,5410.85,,,7.96,,
68,30,2,2023-12-16,negotiation,21652.9,15029.22,5391.43,,,9.73,,
69,33,1,2025-09-05,initial,382717.48,260308.94,19454.7,34647.93,0.00975,9.37,12,
70,33,2,2025-09-23,negotiation,375180.71,254422.85,19373.44,34059.32,0.00961,11.42,12,
71,33,3,2025-10-11,approval,364672.33,246246.16,19260.56,33241.65,0.00941,14.27,12,
72,34,1,2023-07-22,initial,3117129.64,678538.34,42409.76,90141.63,,8.67,48,
73,34,2,2023-08-02,negotiation,3001434.06,652313.14,42105.06,87519.11,,12.2,48,
74,34,3,2023-08-13,approval,2936701.14,637639.86,41934.58,86051.78,,14.17,48,commercial review in progress
75,34,4,2023-08-24,final,2871868.0,622943.86,41763.84,84582.18,,16.15,48,
76,35,1,2025-01-23,initial,701026.13,287216.37,20877.61,52857.89,,8.85,24,
77,35,2,2025-02-13,negotiation,680818.37,278393.62,20758.59,51636.27,,11.65,24,
78,35,3,2025-03-06,approval,667854.26,272733.45,20682.24,50852.56,,13.45,24,
79,36,1,2023-01-14,initial,1410591.88,605686.4,38355.08,80432.0,,8.52,24,commercial review in progress
80,36,2,2023-01-23,negotiation,1388233.65,595577.72,38235.93,79421.14,,10.05,24,
